Word,Times Misspelled,Part-of-Speech
illuftren,192,Adjective
gefaget,164,Verb
niemalen,161,Adverb
fich,158,Pronoun
feyn,151,Verb
africanische,148,Adjective
illuftre,130,Adjective
felbige,115,Pronoun
folte,110,Verb
daben,106,Adverb
diefe,99,Pronoun
toback,96,Noun
iſt,93,Verb
waffer,90,Noun
diefer,85,Pronoun
auffer,83,Preposition
africanisches,71,Adjective
lauffet,70,Verb
fifcal,69,Noun
stellenbosch,67,Noun
rivier,63,Noun
hottentotts,62,Noun
abling,59,Unclear
faget,58,Verb
folches,57,Pronoun
colonien,55,Noun
groffen,55,Adjective
schaafe,55,Noun
hottentott,52,Noun
waysen,51,Noun
africanischer,50,Adjective
groffe,50,Adjective
monath,50,Noun
zen,49,Unclear
boeving,47,Noun
verkauffet,47,Verb
weitläufftig,47,Adjective
denenjenigen,46,Pronoun
fagen,45,Verb
folten,45,Verb
wurs,45,Unclear
diefes,44,Pronoun
effen,44,Verb
nöthige,44,Adjective
boucq,42,Unclear
felbsten,42,Pronoun
frutefcens,42,Unclear
anjezo,41,Adverb
düncket,41,Verb
folche,39,Pronoun
