Page,Error Count
0029.txt,69
0032.txt,69
0033.txt,71
0034.txt,71
0036.txt,47
0037.txt,48
0038.txt,52
0039.txt,56
0040.txt,66
0041.txt,53
0042.txt,55
0043.txt,72
0044.txt,59
0046.txt,71
0047.txt,70
0048.txt,49
0049.txt,61
0050.txt,68
0051.txt,61
0052.txt,48
0053.txt,43
0056.txt,41
0058.txt,43
0059.txt,67
0060.txt,46
0061.txt,59
0062.txt,65
0063.txt,49
0064.txt,54
0065.txt,51
0066.txt,48
0068.txt,43
0069.txt,50
0070.txt,52
0071.txt,64
0072.txt,55
0073.txt,47
0074.txt,52
0077.txt,49
0078.txt,66
0079.txt,64
0080.txt,55
0081.txt,52
0082.txt,64
0083.txt,54
0084.txt,64
0086.txt,64
0087.txt,66
0088.txt,51
0089.txt,62
0090.txt,78
0091.txt,50
0092.txt,53
0093.txt,72
0094.txt,81
0095.txt,56
0096.txt,50
0097.txt,57
0098.txt,59
0099.txt,64
0100.txt,54
0101.txt,58
0102.txt,69
0103.txt,60
0105.txt,61
0106.txt,53
0107.txt,53
0108.txt,58
0109.txt,56
0110.txt,64
0111.txt,74
0112.txt,47
0113.txt,64
0114.txt,58
0115.txt,59
0116.txt,62
0117.txt,80
0118.txt,58
0119.txt,61
0121.txt,59
0122.txt,48
0123.txt,56
0124.txt,44
0125.txt,49
0126.txt,63
0127.txt,49
0128.txt,49
0129.txt,70
0130.txt,58
0131.txt,59
0132.txt,49
0133.txt,47
0134.txt,55
0136.txt,55
0137.txt,53
0138.txt,41
0141.txt,50
0142.txt,51
0143.txt,47
0144.txt,52
0145.txt,48
0146.txt,52
0147.txt,60
0148.txt,33
0149.txt,63
0151.txt,46
0152.txt,58
0153.txt,42
0154.txt,48
0155.txt,39
0156.txt,42
0157.txt,49
0158.txt,47
0159.txt,45
0160.txt,62
0161.txt,44
0162.txt,54
0163.txt,50
0165.txt,44
0166.txt,43
0167.txt,61
0168.txt,48
0171.txt,47
0172.txt,40
0173.txt,59
0174.txt,53
0177.txt,40
0178.txt,59
0179.txt,60
0180.txt,43
0181.txt,55
0182.txt,60
0183.txt,67
0184.txt,49
0185.txt,58
0186.txt,55
0187.txt,47
0188.txt,59
0189.txt,57
0190.txt,51
0193.txt,56
0194.txt,54
0195.txt,67
0196.txt,56
0197.txt,45
0198.txt,36
0201.txt,37
0202.txt,42
0203.txt,41
0204.txt,61
0205.txt,44
0206.txt,38
0207.txt,63
0208.txt,46
0212.txt,47
0213.txt,63
0214.txt,65
0215.txt,52
0216.txt,47
0219.txt,48
0220.txt,42
0221.txt,48
0222.txt,41
0223.txt,51
0224.txt,52
0225.txt,49
0226.txt,52
0227.txt,51
0228.txt,35
0229.txt,42
0231.txt,56
0232.txt,58
0233.txt,57
0234.txt,59
0237.txt,62
0238.txt,54
0241.txt,66
0242.txt,63
0243.txt,54
0244.txt,52
0245.txt,50
0246.txt,49
0247.txt,55
0248.txt,48
0249.txt,66
0250.txt,50
