Processed bub_gb_MbxYAAAAcAAJ_0029.txt, with 69 errors
Processed bub_gb_MbxYAAAAcAAJ_0032.txt, with 69 errors
Processed bub_gb_MbxYAAAAcAAJ_0033.txt, with 71 errors
Processed bub_gb_MbxYAAAAcAAJ_0034.txt, with 71 errors
Processed bub_gb_MbxYAAAAcAAJ_0036.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0037.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0038.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0039.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0040.txt, with 66 errors
Processed bub_gb_MbxYAAAAcAAJ_0041.txt, with 53 errors
Processed bub_gb_MbxYAAAAcAAJ_0042.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0043.txt, with 72 errors
Processed bub_gb_MbxYAAAAcAAJ_0044.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0046.txt, with 71 errors
Processed bub_gb_MbxYAAAAcAAJ_0047.txt, with 70 errors
Processed bub_gb_MbxYAAAAcAAJ_0048.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0049.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0050.txt, with 68 errors
Processed bub_gb_MbxYAAAAcAAJ_0051.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0052.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0053.txt, with 43 errors
Processed bub_gb_MbxYAAAAcAAJ_0056.txt, with 41 errors
Processed bub_gb_MbxYAAAAcAAJ_0058.txt, with 43 errors
Processed bub_gb_MbxYAAAAcAAJ_0059.txt, with 67 errors
Processed bub_gb_MbxYAAAAcAAJ_0060.txt, with 46 errors
Processed bub_gb_MbxYAAAAcAAJ_0061.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0062.txt, with 65 errors
Processed bub_gb_MbxYAAAAcAAJ_0063.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0064.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0065.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0066.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0068.txt, with 43 errors
Processed bub_gb_MbxYAAAAcAAJ_0069.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0070.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0071.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0072.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0073.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0074.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0077.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0078.txt, with 66 errors
Processed bub_gb_MbxYAAAAcAAJ_0079.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0080.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0081.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0082.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0083.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0084.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0086.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0087.txt, with 66 errors
Processed bub_gb_MbxYAAAAcAAJ_0088.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0089.txt, with 62 errors
Processed bub_gb_MbxYAAAAcAAJ_0090.txt, with 78 errors
Processed bub_gb_MbxYAAAAcAAJ_0091.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0092.txt, with 53 errors
Processed bub_gb_MbxYAAAAcAAJ_0093.txt, with 72 errors
Processed bub_gb_MbxYAAAAcAAJ_0094.txt, with 81 errors
Processed bub_gb_MbxYAAAAcAAJ_0095.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0096.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0097.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0098.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0099.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0100.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0101.txt, with 58 errors
Processed bub_gb_MbxYAAAAcAAJ_0102.txt, with 69 errors
Processed bub_gb_MbxYAAAAcAAJ_0103.txt, with 60 errors
Processed bub_gb_MbxYAAAAcAAJ_0105.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0106.txt, with 53 errors
Processed bub_gb_MbxYAAAAcAAJ_0107.txt, with 53 errors
Processed bub_gb_MbxYAAAAcAAJ_0108.txt, with 58 errors
Processed bub_gb_MbxYAAAAcAAJ_0109.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0110.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0111.txt, with 74 errors
Processed bub_gb_MbxYAAAAcAAJ_0112.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0113.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0114.txt, with 58 errors
Processed bub_gb_MbxYAAAAcAAJ_0115.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0116.txt, with 62 errors
Processed bub_gb_MbxYAAAAcAAJ_0117.txt, with 80 errors
Processed bub_gb_MbxYAAAAcAAJ_0118.txt, with 58 errors
Processed bub_gb_MbxYAAAAcAAJ_0119.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0121.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0122.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0123.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0124.txt, with 44 errors
Processed bub_gb_MbxYAAAAcAAJ_0125.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0126.txt, with 63 errors
Processed bub_gb_MbxYAAAAcAAJ_0127.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0128.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0129.txt, with 70 errors
Processed bub_gb_MbxYAAAAcAAJ_0130.txt, with 58 errors
Processed bub_gb_MbxYAAAAcAAJ_0131.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0132.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0133.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0134.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0136.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0137.txt, with 53 errors
Processed bub_gb_MbxYAAAAcAAJ_0138.txt, with 41 errors
Processed bub_gb_MbxYAAAAcAAJ_0141.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0142.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0143.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0144.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0145.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0146.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0147.txt, with 60 errors
Processed bub_gb_MbxYAAAAcAAJ_0148.txt, with 33 errors
Processed bub_gb_MbxYAAAAcAAJ_0149.txt, with 63 errors
Processed bub_gb_MbxYAAAAcAAJ_0151.txt, with 46 errors
Processed bub_gb_MbxYAAAAcAAJ_0152.txt, with 58 errors
Processed bub_gb_MbxYAAAAcAAJ_0153.txt, with 42 errors
Processed bub_gb_MbxYAAAAcAAJ_0154.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0155.txt, with 39 errors
Processed bub_gb_MbxYAAAAcAAJ_0156.txt, with 42 errors
Processed bub_gb_MbxYAAAAcAAJ_0157.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0158.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0159.txt, with 45 errors
Processed bub_gb_MbxYAAAAcAAJ_0160.txt, with 62 errors
Processed bub_gb_MbxYAAAAcAAJ_0161.txt, with 44 errors
Processed bub_gb_MbxYAAAAcAAJ_0162.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0163.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0165.txt, with 44 errors
Processed bub_gb_MbxYAAAAcAAJ_0166.txt, with 43 errors
Processed bub_gb_MbxYAAAAcAAJ_0167.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0168.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0171.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0172.txt, with 40 errors
Processed bub_gb_MbxYAAAAcAAJ_0173.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0174.txt, with 53 errors
Processed bub_gb_MbxYAAAAcAAJ_0177.txt, with 40 errors
Processed bub_gb_MbxYAAAAcAAJ_0178.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0179.txt, with 60 errors
Processed bub_gb_MbxYAAAAcAAJ_0180.txt, with 43 errors
Processed bub_gb_MbxYAAAAcAAJ_0181.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0182.txt, with 60 errors
Processed bub_gb_MbxYAAAAcAAJ_0183.txt, with 67 errors
Processed bub_gb_MbxYAAAAcAAJ_0184.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0185.txt, with 58 errors
Processed bub_gb_MbxYAAAAcAAJ_0186.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0187.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0188.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0189.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0190.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0193.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0194.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0195.txt, with 67 errors
Processed bub_gb_MbxYAAAAcAAJ_0196.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0197.txt, with 45 errors
Processed bub_gb_MbxYAAAAcAAJ_0198.txt, with 36 errors
Processed bub_gb_MbxYAAAAcAAJ_0201.txt, with 37 errors
Processed bub_gb_MbxYAAAAcAAJ_0202.txt, with 42 errors
Processed bub_gb_MbxYAAAAcAAJ_0203.txt, with 41 errors
Processed bub_gb_MbxYAAAAcAAJ_0204.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0205.txt, with 44 errors
Processed bub_gb_MbxYAAAAcAAJ_0206.txt, with 38 errors
Processed bub_gb_MbxYAAAAcAAJ_0207.txt, with 63 errors
Processed bub_gb_MbxYAAAAcAAJ_0208.txt, with 46 errors
Processed bub_gb_MbxYAAAAcAAJ_0212.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0213.txt, with 63 errors
Processed bub_gb_MbxYAAAAcAAJ_0214.txt, with 65 errors
Processed bub_gb_MbxYAAAAcAAJ_0215.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0216.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0219.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0220.txt, with 42 errors
Processed bub_gb_MbxYAAAAcAAJ_0221.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0222.txt, with 41 errors
Processed bub_gb_MbxYAAAAcAAJ_0223.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0224.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0225.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0226.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0227.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0228.txt, with 35 errors
Processed bub_gb_MbxYAAAAcAAJ_0229.txt, with 42 errors
Processed bub_gb_MbxYAAAAcAAJ_0231.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0232.txt, with 58 errors
Processed bub_gb_MbxYAAAAcAAJ_0233.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0234.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0237.txt, with 62 errors
Processed bub_gb_MbxYAAAAcAAJ_0238.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0241.txt, with 66 errors
Processed bub_gb_MbxYAAAAcAAJ_0242.txt, with 63 errors
Processed bub_gb_MbxYAAAAcAAJ_0243.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0244.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0245.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0246.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0247.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0248.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0249.txt, with 66 errors
Processed bub_gb_MbxYAAAAcAAJ_0250.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0251.txt, with 46 errors
Processed bub_gb_MbxYAAAAcAAJ_0252.txt, with 65 errors
Processed bub_gb_MbxYAAAAcAAJ_0253.txt, with 60 errors
Processed bub_gb_MbxYAAAAcAAJ_0254.txt, with 36 errors
Processed bub_gb_MbxYAAAAcAAJ_0256.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0257.txt, with 53 errors
Processed bub_gb_MbxYAAAAcAAJ_0258.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0259.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0260.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0261.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0262.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0263.txt, with 37 errors
Processed bub_gb_MbxYAAAAcAAJ_0264.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0265.txt, with 53 errors
Processed bub_gb_MbxYAAAAcAAJ_0266.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0267.txt, with 39 errors
Processed bub_gb_MbxYAAAAcAAJ_0268.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0270.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0271.txt, with 45 errors
Processed bub_gb_MbxYAAAAcAAJ_0272.txt, with 38 errors
Processed bub_gb_MbxYAAAAcAAJ_0273.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0274.txt, with 44 errors
Processed bub_gb_MbxYAAAAcAAJ_0275.txt, with 42 errors
Processed bub_gb_MbxYAAAAcAAJ_0276.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0277.txt, with 38 errors
Processed bub_gb_MbxYAAAAcAAJ_0278.txt, with 53 errors
Processed bub_gb_MbxYAAAAcAAJ_0279.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0281.txt, with 71 errors
Processed bub_gb_MbxYAAAAcAAJ_0282.txt, with 100 errors
Processed bub_gb_MbxYAAAAcAAJ_0283.txt, with 100 errors
Processed bub_gb_MbxYAAAAcAAJ_0284.txt, with 86 errors
Processed bub_gb_MbxYAAAAcAAJ_0285.txt, with 100 errors
Processed bub_gb_MbxYAAAAcAAJ_0286.txt, with 86 errors
Processed bub_gb_MbxYAAAAcAAJ_0287.txt, with 105 errors
Processed bub_gb_MbxYAAAAcAAJ_0288.txt, with 106 errors
Processed bub_gb_MbxYAAAAcAAJ_0289.txt, with 103 errors
Processed bub_gb_MbxYAAAAcAAJ_0290.txt, with 123 errors
Processed bub_gb_MbxYAAAAcAAJ_0291.txt, with 63 errors
Processed bub_gb_MbxYAAAAcAAJ_0292.txt, with 88 errors
Processed bub_gb_MbxYAAAAcAAJ_0293.txt, with 91 errors
Processed bub_gb_MbxYAAAAcAAJ_0294.txt, with 125 errors
Processed bub_gb_MbxYAAAAcAAJ_0295.txt, with 105 errors
Processed bub_gb_MbxYAAAAcAAJ_0296.txt, with 113 errors
Processed bub_gb_MbxYAAAAcAAJ_0297.txt, with 93 errors
Processed bub_gb_MbxYAAAAcAAJ_0298.txt, with 87 errors
Processed bub_gb_MbxYAAAAcAAJ_0299.txt, with 93 errors
Processed bub_gb_MbxYAAAAcAAJ_0300.txt, with 114 errors
Processed bub_gb_MbxYAAAAcAAJ_0301.txt, with 73 errors
Processed bub_gb_MbxYAAAAcAAJ_0302.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0304.txt, with 85 errors
Processed bub_gb_MbxYAAAAcAAJ_0305.txt, with 78 errors
Processed bub_gb_MbxYAAAAcAAJ_0306.txt, with 65 errors
Processed bub_gb_MbxYAAAAcAAJ_0307.txt, with 62 errors
Processed bub_gb_MbxYAAAAcAAJ_0308.txt, with 68 errors
Processed bub_gb_MbxYAAAAcAAJ_0309.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0310.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0311.txt, with 66 errors
Processed bub_gb_MbxYAAAAcAAJ_0312.txt, with 70 errors
Processed bub_gb_MbxYAAAAcAAJ_0313.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0314.txt, with 46 errors
Processed bub_gb_MbxYAAAAcAAJ_0315.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0317.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0318.txt, with 45 errors
Processed bub_gb_MbxYAAAAcAAJ_0319.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0320.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0321.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0322.txt, with 46 errors
Processed bub_gb_MbxYAAAAcAAJ_0323.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0324.txt, with 65 errors
Processed bub_gb_MbxYAAAAcAAJ_0325.txt, with 45 errors
Processed bub_gb_MbxYAAAAcAAJ_0326.txt, with 38 errors
Processed bub_gb_MbxYAAAAcAAJ_0327.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0328.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0330.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0331.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0332.txt, with 43 errors
Processed bub_gb_MbxYAAAAcAAJ_0333.txt, with 39 errors
Processed bub_gb_MbxYAAAAcAAJ_0334.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0335.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0336.txt, with 39 errors
Processed bub_gb_MbxYAAAAcAAJ_0337.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0338.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0339.txt, with 53 errors
Processed bub_gb_MbxYAAAAcAAJ_0341.txt, with 48 errors
