aaa : ['bub_gb_MbxYAAAAcAAJ_0416.txt', 'line 125', 3]
aaaa : ['bub_gb_MbxYAAAAcAAJ_0618.txt', 'line 127', 1]
aaas : ['bub_gb_MbxYAAAAcAAJ_0189.txt', 'line 58', 1]
aad : ['bub_gb_MbxYAAAAcAAJ_0709.txt', 'line 75', 1]
aamen : ['bub_gb_MbxYAAAAcAAJ_0131.txt', 'line 46', 2]
aan : ['bub_gb_MbxYAAAAcAAJ_0125.txt', 'line 58', 1]
aang : ['bub_gb_MbxYAAAAcAAJ_0555.txt', 'line 71', 1]
aardvarckens : ['bub_gb_MbxYAAAAcAAJ_0201.txt', 'line 34', 1]
aarichten : ['bub_gb_MbxYAAAAcAAJ_0292.txt', 'line 41', 1]
aationiren : ['bub_gb_MbxYAAAAcAAJ_0836.txt', 'line 26', 1]
abandoniret : ['bub_gb_MbxYAAAAcAAJ_0110.txt', 'line 64', 1]
abandonniren : ['bub_gb_MbxYAAAAcAAJ_0745.txt', 'line 50', 2]
abbrea : ['bub_gb_MbxYAAAAcAAJ_0111.txt', 'line 99', 1]
abbrechett : ['bub_gb_MbxYAAAAcAAJ_0791.txt', 'line 62', 1]
abbrede : ['bub_gb_MbxYAAAAcAAJ_0344.txt', 'line 115', 1]
abbren : ['bub_gb_MbxYAAAAcAAJ_0470.txt', 'line 108', 1]
abdanckende : ['bub_gb_MbxYAAAAcAAJ_0895.txt', 'line 25', 2]
abeantur : ['bub_gb_MbxYAAAAcAAJ_0444.txt', 'line 42', 1]
abeichung : ['bub_gb_MbxYAAAAcAAJ_0351.txt', 'line 39', 1]
aberglaubifcber : ['bub_gb_MbxYAAAAcAAJ_0637.txt', 'line 96', 1]
abermahlige : ['bub_gb_MbxYAAAAcAAJ_0892.txt', 'line 60', 2]
abermahligen : ['bub_gb_MbxYAAAAcAAJ_0888.txt', 'line 31', 1]
abermas : ['bub_gb_MbxYAAAAcAAJ_0735.txt', 'line 41', 1]
abersonsten : ['bub_gb_MbxYAAAAcAAJ_0790.txt', 'line 94', 1]
abertheilten : ['bub_gb_MbxYAAAAcAAJ_0834.txt', 'line 30', 1]
