abbt : ['20.txt', 'line 24', 1]
abstrahire : ['14.txt', 'line 41', 1]
africanische : ['19.txt', 'line 7', 1]
africanischen : ['09.txt', 'line 4', 1]
allerschnodesten : ['15.txt', 'line 28', 1]
allma : ['14.txt', 'line 23', 1]
anbetrift : ['09.txt', 'line 21', 1]
anfieng : ['13.txt', 'line 14', 1]
anfu : ['19.txt', 'line 31', 1]
angebohrne : ['15.txt', 'line 23', 1]
angefu : ['09.txt', 'line 22', 1]
angekom : ['15.txt', 'line 36', 1]
angestrahlet : ['14.txt', 'line 43', 1]
angienge : ['20.txt', 'line 52', 1]
anjetzo : ['15.txt', 'line 7', 1]
ansch : ['22.txt', 'line 13', 5]
ansthun : ['21.txt', 'line 8', 1]
aufgeschrieden : ['19.txt', 'line 58', 1]
aufgewärmeten : ['19.txt', 'line 46', 1]
aufsto : ['21.txt', 'line 5', 1]
ausfu : ['19.txt', 'line 23', 1]
ausführ : ['20.txt', 'line 53', 1]
aussiehet : ['09.txt', 'line 9', 1]
bedüncken : ['14.txt', 'line 2', 1]
befordert : ['15.txt', 'line 37', 1]
begnadi : ['14.txt', 'line 48', 1]
beist : ['17.txt', 'line 0', 1]
bekandten : ['21.txt', 'line 13', 1]
bekra : ['20.txt', 'line 43', 1]
bemu : ['14.txt', 'line 19', 1]
berleget : ['20.txt', 'line 3', 1]
bersehenden : ['21.txt', 'line 4', 1]
beruhete : ['20.txt', 'line 56', 1]
beschir : ['12.txt', 'line 6', 1]
beschreidet : ['19.txt', 'line 34', 1]
beschwehren : ['22.txt', 'line 17', 1]
beywohnen : ['20.txt', 'line 56', 1]
biethen : ['19.txt', 'line 12', 2]
bossmann : ['21.txt', 'line 28', 1]
canata : ['21.txt', 'line 25', 1]
capischen : ['13.txt', 'line 51', 1]
ceusacrum : ['20.txt', 'line 33', 1]
chene : ['19.txt', 'line 54', 1]
chern : ['21.txt', 'line 7', 2]
chste : ['14.txt', 'line 19', 1]
chstseeliger : ['13.txt', 'line 6', 1]
chte : ['13.txt', 'line 42', 1]
chten : ['20.txt', 'line 38', 2]
chtig : ['22.txt', 'line 24', 1]
chtige : ['14.txt', 'line 23', 1]
chtigen : ['14.txt', 'line 44', 1]
ckel : ['14.txt', 'line 11', 1]
ckenstein : ['13.txt', 'line 51', 1]
colonien : ['09.txt', 'line 20', 2]
compliments : ['21.txt', 'line 38', 1]
constru : ['21.txt', 'line 59', 1]
crayses : ['11.txt', 'line 17', 1]
ction : ['21.txt', 'line 60', 1]
damahligen : ['13.txt', 'line 47', 1]
dargeleget : ['19.txt', 'line 27', 1]
darthun : ['19.txt', 'line 41', 1]
demüthigsten : ['14.txt', 'line 45', 1]
dergnu : ['19.txt', 'line 47', 1]
derzenget : ['19.txt', 'line 6', 1]
dezengen : ['19.txt', 'line 19', 1]
digst : ['15.txt', 'line 37', 1]
dilliche : ['21.txt', 'line 23', 1]
dorflas : ['13.txt', 'line 6', 1]
eiferig : ['15.txt', 'line 31', 1]
eindiden : ['19.txt', 'line 50', 1]
einge : ['21.txt', 'line 42', 1]
einmahls : ['20.txt', 'line 41', 1]
eintheile : ['21.txt', 'line 12', 1]
einwoh : ['22.txt', 'line 3', 1]
elephan : ['21.txt', 'line 3', 1]
engela : ['19.txt', 'line 33', 2]
entworffen : ['09.txt', 'line 29', 1]
erfoderte : ['21.txt', 'line 54', 1]
erfu : ['15.txt', 'line 49', 1]
ernennete : ['13.txt', 'line 52', 1]
erstenmahl : ['13.txt', 'line 3', 1]
erzehlungen : ['09.txt', 'line 28', 1]
feuerig : ['15.txt', 'line 52', 1]
fftiget : ['20.txt', 'line 43', 1]
forderliche : ['15.txt', 'line 2', 1]
freyheiten : ['20.txt', 'line 43', 1]
fürstenthum : ['13.txt', 'line 3', 1]
gabten : ['21.txt', 'line 5', 1]
gantzes : ['19.txt', 'line 31', 1]
gebieth : ['13.txt', 'line 19', 1]
geleidet : ['13.txt', 'line 28', 1]
genutzet : ['22.txt', 'line 5', 1]
gesan : ['19.txt', 'line 28', 1]
gescheideert : ['19.txt', 'line 28', 1]
getrauete : ['14.txt', 'line 8', 1]
getröste : ['15.txt', 'line 38', 1]
gewa : ['15.txt', 'line 25', 1]
gewust : ['20.txt', 'line 40', 1]
glei : ['20.txt', 'line 23', 1]
glicher : ['19.txt', 'line 47', 1]
glorieusen : ['13.txt', 'line 44', 1]
grieff : ['22.txt', 'line 6', 1]
grundautigen : ['16.txt', 'line 5', 1]
grössern : ['12.txt', 'line 5', 1]
gter : ['09.txt', 'line 22', 1]
guthertziger : ['13.txt', 'line 17', 1]
gänz : ['21.txt', 'line 64', 1]
hauden : ['19.txt', 'line 29', 1]
heimgesuchet : ['14.txt', 'line 38', 1]
herausgeschicket : ['19.txt', 'line 49', 1]
hodiernvm : ['09.txt', 'line 0', 1]
hontan : ['21.txt', 'line 24', 1]
hottenott : ['20.txt', 'line 7', 1]
hrender : ['13.txt', 'line 13', 2]
hsame : ['22.txt', 'line 26', 1]
hsamen : ['20.txt', 'line 57', 1]
implorire : ['15.txt', 'line 12', 1]
inbru : ['15.txt', 'line 49', 1]
instruirte : ['13.txt', 'line 30', 1]
jndischen : ['22.txt', 'line 5', 2]
jnsul : ['19.txt', 'line 32', 1]
kandt : ['19.txt', 'line 33', 1]
keinesweges : ['15.txt', 'line 25', 1]
kommenheit : ['13.txt', 'line 37', 1]
krosick : ['13.txt', 'line 28', 1]
königli : ['20.txt', 'line 42', 1]
lebhafften : ['15.txt', 'line 45', 1]
leßung : ['19.txt', 'line 46', 1]
lffe : ['13.txt', 'line 24', 2]
lle : ['15.txt', 'line 49', 1]
llet : ['21.txt', 'line 13', 1]
llichen : ['13.txt', 'line 7', 1]
llig : ['22.txt', 'line 32', 1]
ltig : ['20.txt', 'line 4', 1]
ludolip : ['20.txt', 'line 25', 1]
lusitanici : ['20.txt', 'line 32', 1]
marggrafen : ['11.txt', 'line 5', 2]
marschallen : ['11.txt', 'line 18', 1]
mecklen : ['11.txt', 'line 7', 1]
memem : ['14.txt', 'line 13', 1]
menden : ['11.txt', 'line 10', 2]
merckwürdiges : ['09.txt', 'line 27', 1]
mern : ['11.txt', 'line 7', 1]
mittheile : ['19.txt', 'line 54', 1]
mohann : ['17.txt', 'line 6', 1]
monath : ['09.txt', 'line 34', 1]
nadigster : ['12.txt', 'line 1', 1]
ncket : ['19.txt', 'line 16', 1]
nders : ['19.txt', 'line 33', 1]
ndert : ['21.txt', 'line 42', 1]
ndi : ['21.txt', 'line 60', 1]
ndig : ['15.txt', 'line 34', 1]
ndigen : ['22.txt', 'line 17', 1]
ndiges : ['22.txt', 'line 20', 1]
ndische : ['22.txt', 'line 2', 1]
ndli : ['20.txt', 'line 54', 1]
ndlichen : ['15.txt', 'line 26', 1]
neise : ['09.txt', 'line 24', 1]
neitigkeit : ['21.txt', 'line 54', 1]
nesciuisse : ['20.txt', 'line 30', 1]
neyder : ['15.txt', 'line 11', 1]
ngen : ['20.txt', 'line 4', 1]
nichtswu : ['15.txt', 'line 28', 1]
niein : ['13.txt', 'line 13', 1]
nieine : ['13.txt', 'line 18', 1]
nigreiche : ['19.txt', 'line 8', 1]
nigsten : ['14.txt', 'line 44', 1]
nigstes : ['14.txt', 'line 49', 1]
nner : ['19.txt', 'line 49', 2]
nnte : ['21.txt', 'line 54', 3]
nothleidenden : ['15.txt', 'line 1', 1]
nstige : ['21.txt', 'line 36', 2]
nstlung : ['21.txt', 'line 51', 1]
nzlich : ['14.txt', 'line 23', 1]
nöhtigen : ['09.txt', 'line 29', 1]
odenstehende : ['21.txt', 'line 40', 1]
oesterreichischen : ['14.txt', 'line 21', 1]
oftmahls : ['21.txt', 'line 59', 2]
ohnfehlbar : ['14.txt', 'line 29', 1]
persöhnlich : ['20.txt', 'line 59', 1]
persöhnlichen : ['20.txt', 'line 56', 1]
phonsi : ['20.txt', 'line 32', 1]
portugisischen : ['20.txt', 'line 41', 1]
prahlerey : ['19.txt', 'line 37', 2]
pratert : ['19.txt', 'line 45', 1]
praunischen : ['13.txt', 'line 24', 1]
preißwurdigsten : ['15.txt', 'line 42', 1]
printzessin : ['15.txt', 'line 42', 1]
produciren : ['19.txt', 'line 40', 1]
rden : ['20.txt', 'line 48', 4]
rdig : ['20.txt', 'line 38', 1]
rdigsten : ['15.txt', 'line 28', 1]
rectorat : ['14.txt', 'line 48', 1]
redwitzische : ['13.txt', 'line 9', 1]
regiering : ['15.txt', 'line 46', 1]
responsuros : ['20.txt', 'line 31', 1]
rhinocerotten : ['21.txt', 'line 5', 1]
rihmen : ['14.txt', 'line 50', 1]
rnberg : ['13.txt', 'line 16', 1]
rnbergischen : ['13.txt', 'line 19', 1]
rnbergischer : ['13.txt', 'line 25', 1]
rtige : ['20.txt', 'line 12', 1]
schencke : ['15.txt', 'line 43', 1]
schich : ['17.txt', 'line 5', 1]
schwehrlich : ['14.txt', 'line 36', 1]
schwehrlichkeiten : ['20.txt', 'line 58', 1]
scripturiendi : ['20.txt', 'line 29', 1]
seln : ['21.txt', 'line 53', 1]
specialen : ['20.txt', 'line 52', 1]
sse : ['20.txt', 'line 45', 1]
sset : ['21.txt', 'line 5', 1]
ssig : ['16.txt', 'line 7', 1]
stadte : ['13.txt', 'line 31', 1]
stellenbosch : ['13.txt', 'line 50', 1]
stitution : ['14.txt', 'line 39', 1]
stun : ['16.txt', 'line 2', 1]
substituiren : ['21.txt', 'line 44', 1]
tauerhaffter : ['15.txt', 'line 42', 1]
tendlich : ['16.txt', 'line 2', 1]
terlich : ['15.txt', 'line 15', 1]
terliche : ['14.txt', 'line 41', 1]
thigst : ['14.txt', 'line 49', 1]
thöricht : ['19.txt', 'line 39', 1]
tte : ['19.txt', 'line 23', 3]
tter : ['14.txt', 'line 12', 1]
tterliche : ['14.txt', 'line 32', 1]
tterlichen : ['14.txt', 'line 30', 1]
ttern : ['19.txt', 'line 22', 1]
tygern : ['20.txt', 'line 63', 1]
tzige : ['19.txt', 'line 57', 1]
tzlicher : ['22.txt', 'line 3', 1]
tzlichern : ['19.txt', 'line 46', 1]
uberschrifft : ['21.txt', 'line 38', 1]
ufftig : ['14.txt', 'line 37', 1]
ulelmahls : ['19.txt', 'line 21', 1]
umarnien : ['15.txt', 'line 15', 1]
unabla : ['16.txt', 'line 7', 1]
unansta : ['19.txt', 'line 29', 1]
untergangen : ['20.txt', 'line 62', 1]
unterthänigst : ['12.txt', 'line 7', 4]
unterthänigsten : ['15.txt', 'line 8', 1]
usserste : ['13.txt', 'line 33', 1]
usserstes : ['14.txt', 'line 31', 1]
vatterliche : ['15.txt', 'line 7', 1]
veneriret : ['14.txt', 'line 45', 1]
verderbete : ['21.txt', 'line 44', 1]
vergnu : ['19.txt', 'line 19', 2]
verkundschafftet : ['20.txt', 'line 59', 1]
verlohneten : ['20.txt', 'line 39', 1]
vermo : ['16.txt', 'line 4', 1]
vielfa : ['20.txt', 'line 4', 1]
vorbeygehen : ['21.txt', 'line 6', 1]
vortheiliger : ['22.txt', 'line 3', 1]
wahrhafftig : ['20.txt', 'line 46', 1]
warnehmen : ['22.txt', 'line 7', 1]
wehemu : ['15.txt', 'line 52', 1]
weitla : ['14.txt', 'line 37', 1]
weltläuftige : ['21.txt', 'line 6', 1]
wiederwa : ['20.txt', 'line 12', 1]
wohlseyn : ['15.txt', 'line 29', 1]
wohltha : ['14.txt', 'line 12', 1]
wohn : ['14.txt', 'line 25', 1]
worter : ['21.txt', 'line 49', 1]
wölffen : ['21.txt', 'line 2', 1]
würckli : ['14.txt', 'line 10', 1]
zehlet : ['21.txt', 'line 23', 1]
zweiffelhafftig : ['20.txt', 'line 14', 1]
zweiffelst : ['19.txt', 'line 5', 1]
überbriefen : ['21.txt', 'line 19', 1]
