Processed 01.txt, with 166 errors
Processed 02.txt, with 106 errors
Processed 03.txt, with 62 errors
Processed 04.txt, with 55 errors
Processed 05.txt, with 62 errors
Processed 06.txt, with 62 errors
Processed 07.txt, with 56 errors
Processed 08.txt, with 58 errors
Processed 09.txt, with 53 errors
Processed 10.txt, with 56 errors
Processed 11.txt, with 55 errors
Processed 12.txt, with 65 errors
Processed 13.txt, with 56 errors
Processed 14.txt, with 67 errors
Processed 15.txt, with 66 errors
Processed 16.txt, with 53 errors
Processed 17.txt, with 56 errors
Processed 18.txt, with 52 errors
Processed 19.txt, with 66 errors
Processed 20.txt, with 60 errors
Processed 21.txt, with 69 errors
Processed 22.txt, with 70 errors
Processed 23.txt, with 76 errors
Processed 24.txt, with 63 errors
Processed 25.txt, with 73 errors
Processed 26.txt, with 83 errors
Processed 27.txt, with 68 errors
Processed 28.txt, with 61 errors
Processed 29.txt, with 66 errors
Processed 30.txt, with 60 errors
Processed 31.txt, with 48 errors
Processed 32.txt, with 46 errors
Processed 33.txt, with 57 errors
Processed 34.txt, with 74 errors
Processed 35.txt, with 60 errors
Processed 36.txt, with 65 errors
Processed 37.txt, with 55 errors
Processed 38.txt, with 41 errors
Processed 39.txt, with 55 errors
Processed 40.txt, with 64 errors
Processed 41.txt, with 46 errors
Processed 42.txt, with 46 errors
Processed 43.txt, with 51 errors
Processed 44.txt, with 61 errors
Processed 45.txt, with 61 errors
Processed 46.txt, with 47 errors
Processed 47.txt, with 68 errors
Processed 48.txt, with 50 errors
Processed 49.txt, with 49 errors
Processed 50.txt, with 59 errors
Processed 51.txt, with 46 errors
Processed 52.txt, with 51 errors
Processed 53.txt, with 51 errors
Processed 54.txt, with 44 errors
Processed 55.txt, with 53 errors
Processed 56.txt, with 62 errors
Processed 57.txt, with 55 errors
Processed 58.txt, with 75 errors
Processed 59.txt, with 59 errors
Processed 60.txt, with 59 errors
Processed 61.txt, with 64 errors
Processed 62.txt, with 57 errors
Processed 63.txt, with 70 errors
Processed 64.txt, with 52 errors
Processed 65.txt, with 54 errors
Processed 66.txt, with 67 errors
Processed 67.txt, with 69 errors
Processed 68.txt, with 78 errors
Processed 69.txt, with 74 errors
Processed 70.txt, with 70 errors
Processed 71.txt, with 75 errors
Processed 72.txt, with 62 errors
Processed 73.txt, with 64 errors
Processed 74.txt, with 53 errors
Processed 75.txt, with 49 errors
Processed 76.txt, with 4 errors
Processed 77.txt, with 68 errors
Processed 78.txt, with 104 errors
Processed 79.txt, with 80 errors
Processed 80.txt, with 20 errors
