aaepfel : ['02.txt', 'line 3', 1]
aaequatorem : ['02.txt', 'line 3', 1]
aaffen : ['02.txt', 'line 3', 1]
aafricana : ['02.txt', 'line 5', 1]
aafricanische : ['02.txt', 'line 3', 1]
aaja : ['02.txt', 'line 3', 1]
aaller : ['22.txt', 'line 71', 1]
aallgemeiner : ['02.txt', 'line 3', 1]
aallium : ['02.txt', 'line 3', 1]
aalterthum : ['02.txt', 'line 5', 1]
aaltgebacken : ['02.txt', 'line 5', 1]
aalthaca : ['02.txt', 'line 5', 1]
aamseln : ['02.txt', 'line 7', 1]
aamsterdam : ['02.txt', 'line 7', 1]
aamt : ['02.txt', 'line 7', 1]
aan : ['60.txt', 'line 59', 1]
aancker : ['02.txt', 'line 9', 1]
aanders : ['02.txt', 'line 9', 1]
aauch : ['21.txt', 'line 34', 1]
aauf : ['60.txt', 'line 110', 2]
abandonniret : ['17.txt', 'line 96', 1]
abauet : ['44.txt', 'line 111', 1]
abefeuchtet : ['46.txt', 'line 58', 1]
abegehren : ['28.txt', 'line 99', 1]
abekommen : ['72.txt', 'line 82', 1]
abekommet : ['26.txt', 'line 65', 1]
abendlustig : ['50.txt', 'line 39', 1]
aberbald : ['44.txt', 'line 6', 1]
aberwiederrathen : ['04.txt', 'line 40', 1]
abeschencke : ['22.txt', 'line 109', 1]
abeschmieren : ['25.txt', 'line 42', 1]
abesitzer : ['68.txt', 'line 88', 1]
abestehet : ['02.txt', 'line 9', 1]
abfol : ['13.txt', 'line 82', 1]
abgebro : ['33.txt', 'line 77', 1]
abgebun : ['05.txt', 'line 120', 1]
abgefassetworinnen : ['70.txt', 'line 28', 1]
abgeholetwerden : ['71.txt', 'line 71', 1]
abgeleget : ['21.txt', 'line 58', 2]
abgelo : ['01.txt', 'line 88', 1]
abgenemen : ['62.txt', 'line 80', 1]
abgericht : ['15.txt', 'line 101', 1]
abgeschicket : ['62.txt', 'line 70', 2]
abgeschröcket : ['29.txt', 'line 57', 1]
abgeschützet : ['37.txt', 'line 29', 1]
abgestrafften : ['16.txt', 'line 125', 1]
abgesuchet : ['64.txt', 'line 65', 1]
abgethan : ['74.txt', 'line 63', 1]
abgezapffet : ['06.txt', 'line 82', 1]
ablacher : ['01.txt', 'line 7', 1]
abler : ['01.txt', 'line 13', 1]
abling : ['24.txt', 'line 45', 5]
abodor : ['01.txt', 'line 53', 1]
abrennet : ['03.txt', 'line 93', 1]
abrother : ['01.txt', 'line 56', 1]
abrucknen : ['01.txt', 'line 68', 1]
abscheeren : ['25.txt', 'line 42', 3]
abschiesset : ['38.txt', 'line 5', 1]
absentiret : ['35.txt', 'line 98', 2]
absinthli : ['78.txt', 'line 65', 1]
abströhmende : ['64.txt', 'line 95', 1]
abthun : ['26.txt', 'line 73', 1]
abutilen : ['01.txt', 'line 68', 1]
abylinier : ['01.txt', 'line 70', 1]
abſchneidung : ['01.txt', 'line 64', 1]
abſetzung : ['01.txt', 'line 18', 1]
abſyuthium : ['01.txt', 'line 66', 1]
acharts : ['64.txt', 'line 73', 1]
achtauf : ['71.txt', 'line 66', 1]
achteckicht : ['37.txt', 'line 14', 1]
achtungsondern : ['31.txt', 'line 19', 1]
acralle : ['14.txt', 'line 55', 1]
adahin : ['70.txt', 'line 82', 1]
adalmeida : ['02.txt', 'line 3', 1]
adas : ['25.txt', 'line 42', 2]
adavon : ['56.txt', 'line 38', 2]
adazu : ['57.txt', 'line 30', 1]
adaß : ['36.txt', 'line 24', 1]
adessen : ['34.txt', 'line 19', 3]
adeßwegen : ['01.txt', 'line 58', 1]
adiesen : ['02.txt', 'line 3', 1]
adrien : ['62.txt', 'line 51', 1]
adrlan : ['52.txt', 'line 79', 1]
adörffen : ['71.txt', 'line 97', 1]
aecia : ['01.txt', 'line 72', 1]
aecto : ['01.txt', 'line 74', 1]
aefer : ['35.txt', 'line 31', 1]
aehe : ['21.txt', 'line 6', 1]
aein : ['26.txt', 'line 44', 2]
aeine : ['73.txt', 'line 79', 2]
aeines : ['22.txt', 'line 115', 1]
aelteste : ['33.txt', 'line 14', 1]
aenglische : ['56.txt', 'line 85', 1]
aerregen : ['73.txt', 'line 68', 1]
aerschricket : ['61.txt', 'line 102', 1]
aertzt : ['69.txt', 'line 9', 1]
aerweiset : ['24.txt', 'line 24', 1]
aerzten : ['42.txt', 'line 124', 1]
aessen : ['30.txt', 'line 31', 2]
afauheit : ['18.txt', 'line 131', 1]
afeq : ['45.txt', 'line 11', 1]
afeqq : ['62.txt', 'line 67', 1]
affrontret : ['31.txt', 'line 14', 1]
afichtenbaum : ['19.txt', 'line 81', 1]
africaner : ['58.txt', 'line 6', 1]
africanische : ['18.txt', 'line 26', 41]
africanischen : ['46.txt', 'line 10', 2]
africanischer : ['18.txt', 'line 123', 24]
africanisches : ['18.txt', 'line 20', 23]
africarum : ['11.txt', 'line 119', 1]
africon : ['61.txt', 'line 113', 1]
afrissi : ['64.txt', 'line 62', 1]
afrleanug : ['01.txt', 'line 68', 1]
ageben : ['29.txt', 'line 37', 1]
agefangene : ['22.txt', 'line 26', 1]
agehen : ['30.txt', 'line 22', 1]
agehet : ['02.txt', 'line 3', 1]
ageld : ['22.txt', 'line 71', 1]
agespräch : ['22.txt', 'line 115', 1]
agevatterschafft : ['23.txt', 'line 16', 1]
agewinn : ['23.txt', 'line 29', 1]
agiebet : ['71.txt', 'line 66', 1]
agiren : ['27.txt', 'line 53', 2]
aguarnison : ['25.txt', 'line 7', 1]
ahaben : ['26.txt', 'line 82', 1]
ahalten : ['26.txt', 'line 78', 1]
ahand : ['25.txt', 'line 101', 1]
