abgebrennet : ['08.txt', 'line 3', 1]
abgefer : ['08.txt', 'line 101', 1]
abgefert : ['43.txt', 'line 121', 2]
abgefeu : ['64.txt', 'line 36', 1]
abgekehret : ['09.txt', 'line 29', 1]
abgelaß : ['09.txt', 'line 90', 1]
abgemahnet : ['06.txt', 'line 35', 1]
abgereisete : ['38.txt', 'line 17', 1]
abgeschrecket : ['59.txt', 'line 7', 1]
abholeten : ['64.txt', 'line 18', 1]
abling : ['63.txt', 'line 77', 3]
abschläget : ['23.txt', 'line 99', 1]
abschrifft : ['61.txt', 'line 8', 1]
absons : ['66.txt', 'line 103', 1]
abstat : ['02.txt', 'line 77', 1]
abstrahire : ['41.txt', 'line 70', 2]
abwei : ['09.txt', 'line 2', 1]
abwerffe : ['50.txt', 'line 31', 1]
accordien : ['49.txt', 'line 76', 1]
accule : ['54.txt', 'line 52', 1]
achdem : ['08.txt', 'line 79', 5]
acrian : ['56.txt', 'line 56', 1]
administriren : ['48.txt', 'line 101', 1]
admirai : ['04.txt', 'line 113', 1]
adrien : ['49.txt', 'line 17', 1]
aepfel : ['05.txt', 'line 56', 1]
affessor : ['49.txt', 'line 67', 1]
africanische : ['23.txt', 'line 33', 1]
africanischen : ['19.txt', 'line 96', 6]
africaru : ['23.txt', 'line 26', 1]
afticanischen : ['14.txt', 'line 47', 1]
aleine : ['62.txt', 'line 100', 1]
alldieweilen : ['54.txt', 'line 92', 1]
allegirte : ['30.txt', 'line 69', 1]
alleie : ['57.txt', 'line 98', 1]
allende : ['24.txt', 'line 36', 1]
allerho : ['01.txt', 'line 22', 1]
allerkürtzeste : ['34.txt', 'line 45', 1]
allge : ['25.txt', 'line 56', 1]
alltägli : ['37.txt', 'line 18', 1]
allustren : ['57.txt', 'line 19', 1]
allzugrosse : ['20.txt', 'line 50', 1]
aloden : ['41.txt', 'line 105', 1]
alphaber : ['17.txt', 'line 4', 1]
alphaberischer : ['17.txt', 'line 24', 1]
alphabeth : ['14.txt', 'line 56', 1]
alplaberischen : ['19.txt', 'line 91', 1]
alustren : ['51.txt', 'line 54', 2]
americanischen : ['20.txt', 'line 89', 1]
ammunirions : ['43.txt', 'line 92', 1]
amrdun : ['05.txt', 'line 122', 1]
anbelan : ['44.txt', 'line 78', 1]
anbetrift : ['05.txt', 'line 24', 1]
anbey : ['18.txt', 'line 23', 2]
anbi : ['09.txt', 'line 78', 1]
anböthe : ['42.txt', 'line 93', 1]
anckern : ['65.txt', 'line 61', 2]
anderr : ['64.txt', 'line 61', 1]
anderung : ['09.txt', 'line 9', 1]
anderwa : ['09.txt', 'line 63', 1]
anetzo : ['25.txt', 'line 59', 1]
anfa : ['04.txt', 'line 72', 1]
anfu : ['14.txt', 'line 11', 2]
angebeyen : ['67.txt', 'line 10', 1]
angebohrne : ['27.txt', 'line 37', 1]
angebohrnen : ['27.txt', 'line 4', 1]
angebottenen : ['60.txt', 'line 68', 1]
angedrohet : ['17.txt', 'line 94', 1]
angefange : ['28.txt', 'line 96', 2]
angefu : ['11.txt', 'line 96', 1]
angegrif : ['28.txt', 'line 19', 1]
angeha : ['06.txt', 'line 33', 1]
angeklopffer : ['61.txt', 'line 69', 1]
angekom : ['04.txt', 'line 74', 1]
angeleget : ['24.txt', 'line 101', 3]
angemerket : ['17.txt', 'line 80', 1]
angepflantzet : ['54.txt', 'line 59', 1]
angerüh : ['16.txt', 'line 74', 1]
angerühret : ['62.txt', 'line 36', 1]
angese : ['14.txt', 'line 86', 1]
angezeich : ['40.txt', 'line 103', 1]
angezeigek : ['31.txt', 'line 32', 1]
angienge : ['42.txt', 'line 101', 1]
angränzenden : ['40.txt', 'line 108', 1]
anhern : ['51.txt', 'line 6', 1]
anhes : ['18.txt', 'line 93', 1]
anheu : ['31.txt', 'line 79', 1]
anhilfft : ['52.txt', 'line 73', 1]
anitzo : ['29.txt', 'line 61', 1]
anjetzo : ['19.txt', 'line 41', 10]
anjetzu : ['34.txt', 'line 16', 1]
ankurft : ['64.txt', 'line 93', 1]
anla : ['04.txt', 'line 37', 1]
anlangete : ['60.txt', 'line 53', 1]
anlauff : ['64.txt', 'line 23', 1]
anländen : ['24.txt', 'line 91', 1]
anmerckens : ['10.txt', 'line 50', 1]
anmuthig : ['15.txt', 'line 31', 2]
anmuthigkeit : ['15.txt', 'line 41', 1]
anordnum : ['48.txt', 'line 93', 1]
anru : ['15.txt', 'line 39', 1]
